Stop monitoring using [ctrl]-[c]
Time        CPU    load %cpu %sys %usr %nice %io %irq   CPU  C.St.

18:18:10:  816MHz  3.57  69%   4%  64%   0%   0%   0%   69°C  1/10
18:18:15: 1008MHz  3.53  73%   5%  67%   0%   0%   0%   67°C  1/10
18:18:20: 1008MHz  3.48  73%   5%  67%   0%   0%   0%   66°C  1/10
18:18:25: 1008MHz  3.53  71%   5%  65%   0%   0%   0%   70°C  1/10
18:18:31:  816MHz  3.72  69%   5%  64%   0%   0%   0%   69°C  1/10
18:18:36: 1008MHz  3.61  69%   4%  64%   0%   0%   0%   67°C  1/10
18:18:41:  816MHz  3.64  68%   3%  64%   0%   0%   0%   70°C  2/10
18:18:46: 1008MHz  3.59  69%   3%  65%   0%   0%   0%   69°C  1/10
18:18:51:  816MHz  3.54  71%   3%  67%   0%   0%   0%   69°C  1/10
18:18:56:  816MHz  3.50  73%   2%  70%   0%   0%   0%   70°C  2/10

